l,"fcm,p","fcm,j",b,h0,fy*As,fyt*Ast,Type of rebar,Interface type,Concrete type of joint,Mu
150,36.4,46.528,300,120,39.26990817,78.53981634,U-bar,Straight,NSC,6.8256
100,38.72,42.016,300,120,39.26990817,78.53981634,U-bar,Straight,NSC,5.976
100,38.72,44.936,300,120,39.26990817,78.53981634,U-bar,Straight,NSC,5.76
100,38.72,44.936,300,120,39.26990817,78.53981634,U-bar,Straight,NSC,6.5712
200,53.2,53.2,300,120,39.26990817,78.53981634,U-bar,Straight,NSC,7.32
200,53.2,53.2,300,120,39.26990817,78.53981634,U-bar,Straight,NSC,7.8
150,49.84,49.84,300,120,39.26990817,78.53981634,U-bar,Straight,NSC,6.312
150,49.84,49.84,300,120,39.26990817,78.53981634,U-bar,Straight,NSC,7.44
300,29.5,51.3,180,216,104.2757434,0,Straight bar,Straight,NSC,27.1125
300,29.5,29,180,216,104.2757434,0,Straight bar,Straight,SFRC,27.9
300,29.5,30.6,180,216,104.2757434,0,Straight bar,Straight,NSC,23.1375
300,29.5,36,180,216,104.2757434,0,Straight bar,Straight,NSC,25.3875
